,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
1662420,Alkalinity,Columbia Basin Waterhub,1,Alkalinity Total
59,Alkalinity Total 4.5 (as CaCO3),Environmental Monitoring System,1,Alkalinity Total 4.5 (as CaCO3)
1661368,"Alkalinity, Total (as CaCO3)",Columbia Basin Waterhub,1,Alkalinity Total
64767,Alkalinity:Total,Environmental Monitoring System,1,Alkalinity Total
1662636,Aluminum,Columbia Basin Waterhub,2,Aluminum Total
344,Aluminum Dissolved,Environmental Monitoring System,2,Aluminum Dissolved
133,Aluminum Total,Environmental Monitoring System,2,Aluminum Total
1988931,Aluminum Total,CABIN,2,Aluminum Total
1661331,"Aluminum, dissolved",Columbia Basin Waterhub,2,Aluminum Dissolved
1661379,"Aluminum, total",Columbia Basin Waterhub,2,Aluminum Total
1661629,"Aluminum, Total",Columbia Basin Waterhub,2,Aluminum Total
1662034,"Alumnim, Total",Columbia Basin Waterhub,2,Aluminum Total
1988942,Ammonia,CABIN,2,Ammonia Total
1661373,"Ammonia, Total (as N)",Columbia Basin Waterhub,2,Ammonia Total
1993455,Ammonium,CABIN,1,Ammonium
1662642,Antimony,Columbia Basin Waterhub,1,Antimony Total
15,Antimony Dissolved,Environmental Monitoring System,1,Antimony Dissolved
65,Antimony Total,Environmental Monitoring System,1,Antimony Total
1988964,Antimony Total,CABIN,1,Antimony Total
1661332,"Antimony, dissolved",Columbia Basin Waterhub,1,Antimony Dissolved
1661380,"Antimony, total",Columbia Basin Waterhub,1,Antimony Total
1661630,"Antimony, Total",Columbia Basin Waterhub,1,Antimony Total
1662648,Arsenic,Columbia Basin Waterhub,1,Arsenic Total
121,Arsenic Dissolved,Environmental Monitoring System,1,Arsenic Dissolved
48,Arsenic Total,Environmental Monitoring System,1,Arsenic Total
1988927,Arsenic Total,CABIN,1,Arsenic Total
1661333,"Arsenic, dissolved",Columbia Basin Waterhub,1,Arsenic Dissolved
1661381,"Arsenic, total",Columbia Basin Waterhub,1,Arsenic Total
1661631,"Arsenic, Total",Columbia Basin Waterhub,1,Arsenic Total
1662654,Barium,Columbia Basin Waterhub,1,Barium Total
135,Barium Dissolved,Environmental Monitoring System,1,Barium Dissolved
75,Barium Total,Environmental Monitoring System,1,Barium Total
1988963,Barium Total,CABIN,1,Barium Total
1661334,"Barium, dissolved",Columbia Basin Waterhub,1,Barium Dissolved
1661382,"Barium, total",Columbia Basin Waterhub,1,Barium Total
1661632,"Barium, Total",Columbia Basin Waterhub,1,Barium Total
1988076,Benthic Invertebrates,CABIN,2,Benthic Invertebrates
1662660,Beryllium,Columbia Basin Waterhub,1,Beryllium Total
178,Beryllium Dissolved,Environmental Monitoring System,1,Beryllium Dissolved
78,Beryllium Total,Environmental Monitoring System,1,Beryllium Total
1988955,Beryllium Total,CABIN,1,Beryllium Total
1661335,"Beryllium, dissolved",Columbia Basin Waterhub,1,Beryllium Dissolved
1661383,"Beryllium, total",Columbia Basin Waterhub,1,Beryllium Total
1661633,"Beryllium, Total",Columbia Basin Waterhub,1,Beryllium Total
1992043,Bicarbonate,CABIN,1,Bicarbonate
1662426,Bicarbonate,Columbia Basin Waterhub,1,Bicarbonate
95104,Bicarbonate Alkalinity (as CaCO3),Environmental Monitoring System,1,Bicarbonate
1662666,Bismuth,Columbia Basin Waterhub,1,Bismuth Total
175,Bismuth Dissolved,Environmental Monitoring System,1,Bismuth Dissolved
39,Bismuth Total,Environmental Monitoring System,1,Bismuth Total
1988956,Bismuth Total,CABIN,1,Bismuth Total
1661336,"Bismuth, dissolved",Columbia Basin Waterhub,1,Bismuth Dissolved
1661384,"Bismuth, total",Columbia Basin Waterhub,1,Bismuth Total
1661634,"Bismuth, Total",Columbia Basin Waterhub,1,Bismuth Total
1662672,Boron,Columbia Basin Waterhub,1,Boron Total
172,Boron Dissolved,Environmental Monitoring System,1,Boron Dissolved
294,Boron Total,Environmental Monitoring System,1,Boron Total
1988959,Boron Total,CABIN,1,Boron Total
1661337,"Boron, dissolved",Columbia Basin Waterhub,1,Boron Dissolved
1661385,"Boron, total",Columbia Basin Waterhub,1,Boron Total
1661635,"Boron, Total",Columbia Basin Waterhub,1,Boron Total
130193,Bromate Dissolved,Environmental Monitoring System,1,Bromate Dissolved
1661515,Bromide,Columbia Basin Waterhub,1,Bromide
1988958,Bromide,CABIN,1,Bromide
134,Bromide Dissolved,Environmental Monitoring System,1,Bromide Dissolved
1662678,Cadmium,Columbia Basin Waterhub,1,Cadmium Total
74,Cadmium Dissolved,Environmental Monitoring System,1,Cadmium Dissolved
35,Cadmium Total,Environmental Monitoring System,1,Cadmium Total
1988934,Cadmium Total,CABIN,1,Cadmium Total
1661338,"Cadmium, dissolved",Columbia Basin Waterhub,1,Cadmium Dissolved
1661386,"Cadmium, total",Columbia Basin Waterhub,1,Cadmium Total
1661636,"Cadmium, Total",Columbia Basin Waterhub,1,Cadmium Total
1662684,Calcium,Columbia Basin Waterhub,2,Calcium Total
1988936,Calcium,CABIN,2,Calcium Total
22,Calcium Dissolved,Environmental Monitoring System,2,Calcium Dissolved
341,Calcium Total,Environmental Monitoring System,2,Calcium Total
1661339,"Calcium, dissolved",Columbia Basin Waterhub,2,Calcium Dissolved
1661387,"Calcium, total",Columbia Basin Waterhub,2,Calcium Total
1661657,"Calcium, Total",Columbia Basin Waterhub,2,Calcium Total
1221,Carbon Dissolved Inorganic,Environmental Monitoring System,2,Carbon Dissolved Inorganic
231,Carbon Dissolved Organic,Environmental Monitoring System,2,Carbon Dissolved Organic
1894,Carbon Total,Environmental Monitoring System,2,Carbon Total
180,Carbon Total Dissolved,Environmental Monitoring System,2,Carbon Total Dissolved
256,Carbon Total Inorganic,Environmental Monitoring System,2,Carbon Total Inorganic
408,Carbon Total Organic,Environmental Monitoring System,2,Carbon Total Organic
1661473,"Carbon, Dissolved Organic",Columbia Basin Waterhub,2,Carbon Dissolved Organic
1661472,"Carbon, Total Organic",Columbia Basin Waterhub,2,Carbon Total Organic
1662429,Carbonate,Columbia Basin Waterhub,1,Carbonate
1992055,Carbonate,CABIN,1,Carbonate
94763,Carbonate Alkalinity (as CaCO3),Environmental Monitoring System,1,Carbonate Alkalinity (as CaCO3)
194,Cerium Total,Environmental Monitoring System,1,Cerium Total
166,Cesium Dissolved,Environmental Monitoring System,1,Cesium Dissolved
481,Cesium Total,Environmental Monitoring System,1,Cesium Total
1661417,Chloride,Columbia Basin Waterhub,2,Chloride Total
110,Chloride Dissolved,Environmental Monitoring System,2,Chloride Dissolved
58730,Chloride Total,Environmental Monitoring System,2,Chloride Total
1662690,Chromium,Columbia Basin Waterhub,1,Chromium Total
286,Chromium Dissolved,Environmental Monitoring System,1,Chromium Dissolved
164,Chromium Total,Environmental Monitoring System,1,Chromium Total
1988945,Chromium Total,CABIN,1,Chromium Total
1661340,"Chromium, dissolved",Columbia Basin Waterhub,1,Chromium Dissolved
1661388,"Chromium, total",Columbia Basin Waterhub,1,Chromium Total
1661637,"Chromium, Total",Columbia Basin Waterhub,1,Chromium Total
1662043,"Cobal, Total",Columbia Basin Waterhub,1,Cobalt Total
1662696,Cobalt,Columbia Basin Waterhub,1,Cobalt Total
36,Cobalt Dissolved,Environmental Monitoring System,1,Cobalt Dissolved
56,Cobalt Total,Environmental Monitoring System,1,Cobalt Total
1988957,Cobalt Total,CABIN,1,Cobalt Total
1661341,"Cobalt, dissolved",Columbia Basin Waterhub,1,Cobalt Dissolved
1661389,"Cobalt, total",Columbia Basin Waterhub,1,Cobalt Total
1661638,"Cobalt, Total",Columbia Basin Waterhub,1,Cobalt Total
283,Coliform - Fecal,Environmental Monitoring System,2,Coliform Fecal
8810,Coliform - Total,Environmental Monitoring System,2,Coliform Total
1988933,Conductivity,CABIN,2,Conductivity
1662702,Copper,Columbia Basin Waterhub,1,Copper Total
179,Copper Dissolved,Environmental Monitoring System,1,Copper Dissolved
14,Copper Total,Environmental Monitoring System,1,Copper Total
1988929,Copper Total,CABIN,1,Copper Total
1661342,"Copper, dissolved",Columbia Basin Waterhub,1,Copper Dissolved
1661390,"Copper, total",Columbia Basin Waterhub,1,Copper Total
1661639,"Copper,Total",Columbia Basin Waterhub,1,Copper Total
1650683,Discharge,BC Data Catalogue,2,Flow
