MONITORING_LOCATION_ID,,PRESUMED_OWNER,MONITORING_STATION_NAME,DESCRIPTION,PERMIT_ID,PERMIT_RELATIONSHIP,LOC_PRPSD,LOC_TY_CD,LATITUDE,LONGITUDE,ELEVATION,FRT_SMP_DT,LST_SMP_DT,SMPL_CNT,RSLT_CNT,SAMPLING_AGENCY,ANALYZING_AGENCY
0200016,,ECCC,ELK RIVER ABOVE HIGHWAY 93,ELK RIVER ABOVE HIGHWAY 93/ ELK 02 / BC08NK0003,,,2,21,49.1797,115.16702,,19680813123000,20230731104000,3578,68880,Water Quality,Bureau Veritas Laboratories (Maxxam)
0200024,,Unknown,ELK RIVER AT HOSMER BRIDGE,Elk River at Hosmer Bridge: FIRST BC HWY 3 BRIDGE WEST OF HOSMER RIVER MILE 45.5 100 METERS D/S OF BRIDGE ON RIGHT BANK,,,2,21,49.5856,114.9678,,19690728110000,19851105143000,206,2400,"Kootenay, Nelson",Equis Environmental Lab
0200025,,Unknown,MICHEL CREEK AT NATAL BRIDGE,Michel Creek at Natal Bridge: FIRST BC HWY 3 BRIDGE EAST OF SPARWOOD RIVER MILE 2.0,,,2,21,49.7292,114.8561,,19690728100000,20070928173000,411,4682,"Kootenay, Cranbrook",Bureau Veritas Laboratories (Maxxam)
0200027,,Teck,ELK RIVER ABOVE GRAVE CREEK AT ABANDONED SUSPENSION BRIDGE,Elkview Operations - Order Station - monitor success of EVWQP - Receiving environment - Elk River upstream of Grave Creek (between Fording River and Michel Creek),425,CONTROL,1,21,49.866488,114.868706,,19690728090000,20230626091100,1650,30888,"Kootenay, Cranbrook",ALS Global
0200028,,Teck,FORDING RIVER BELOW LINE CREEK,Line Creek Operations - Order Station - monitor the success of EVWQP - Receiving environment - Fording River downstream of LCO (lower Fording River),5353,DOWNCURRENT/DOWNWIND,2,21,49.89313,114.869931,,19690728080000,20230626145000,1579,33679,Permittee,ALS Global
0200039,,District of Elkford,Elk River below old Elkford Stp,Elk River below old Elkford Stp,454,DOWNCURRENT/DOWNWIND,2,21,50.0144,114.9111,,19710625093000,19851105102000,208,1549,Water Quality,Equis Environmental Lab
0200041,,Unknown,ELK R NEAR HEADWATERS,Elk River near headwaters,,,1,21,50.4417,114.9453,,19710727121500,20030422110900,18,158,Federal,JR Laboratories Inc.
0200044,,Teck,LINE CR (PE5353) LINE CR AT CANYON MOUTH,Line Creek Operations u/s of Process Plant - Receiving environment,5353,DOWNCURRENT/DOWNWIND,2,21,49.891596,114.833413,,19710520104000,20230626142000,2021,42882,Elkview Coal Corp. Central Lab,ALS Global
0200097,,Teck,EVCC -ELKVIEW (PE425) ERICKSON CREEK AT MOUTH,"Elkview Operations, Authorized Discharge, Erickson Creek at Mouth",425,DOWNCURRENT/DOWNWIND,2,21,49.677886,114.78383,,19840313124000,20230629111100,1928,30408,"Kootenay, Cranbrook",Bureau Veritas Laboratories (Maxxam)
0200102,,District of Sparwood,ELK RIVER BELOW SPARWOOD,ELK RIVER BELOW SPARWOOD,253,DOWNCURRENT/DOWNWIND,2,21,49.6643,114.9041,,19721127144500,20230731115500,1222,47279,Contractor,National Lab for Environmental Testing
0200103,,District of Sparwood,ELK RIVER ABOVE SPARWOOD STP,LOCATED DIRECTLY BEHIND SPARWOOD STP-SAMPLE RIVER APPROXIMATELY 100 FT UPSTREAM OF OUTFALL PIPE,253,CONTROL,2,21,49.7308,114.9,,19721127123500,19891220113000,308,2744,"Kootenay, Nelson",Environmental Laboratory
0200111,,Teck,ELK R. ABOVE ELKVIEW COARSE REFUSE AREA C,Elkview Operations: Receiving Environment: Elk River u/s of Michel Creek,425,DOWNCURRENT/DOWNWIND,2,21,49.746822,114.888611,,19730111,20230628134300,1483,16571,Elkview Coal Corp. Central Lab,ALS Global
0200113,,Fernie Alpine Resort,ELK RIVER ABOVE LIZARD CREEK,ELK RIVER ABOVE LIZARD CREEK; Just U/S of Lizard Creek Confluence,,,2,21,49.4714,115.0736,,19730117,19890808132000,163,962,"Kootenay, Nelson",Environmental Laboratory
0200184,,Teck,MICHEL CREEK U/S COAL MTN OPERATIONS,Coal Mountain Operations - Receiving Water - Upstream - Effluent Compliance - MICHEL CREEK U/S COAL MTN OPERATIONS,4750,CONTROL,1,21,49.4917,114.6803,,19820104,20070904,453,1718,"Kootenay, Cranbrook",Bureau Veritas Laboratories (Maxxam)
0200185,,Teck,MICHEL CREEK D/S COAL MTN OPERATIONS,Coal Mountain Operations - Receiving Water - Downstream - Effluent Compliance - Downcurrent / Downwind - MICHEL CREEK U/S COAL MTN OPERATIONS,4750,DOWNCURRENT/DOWNWIND,2,21,49.5286,114.7072,,19820104,20070904,780,2835,"Kootenay, Cranbrook",Bureau Veritas Laboratories (Maxxam)
0200186,,Unknown,MICHEL C. BELOW COLEMAN COLLIEIES S. POND,MICHEL C. BELOW COLEMAN COLLIEIES S. POND,,,5,21,49.5375,114.7186,,19850528113000,19850528113000,1,8,"Kootenay, Nelson",Environmental Laboratory
0200201,,Teck,FORDING RIVER U/S OF KILMARNOCK CR (FR_FR2),Fording River Operations - Receiving environment - Fording River u/s of Kilmarnock Creek,424,CONTROL,1,21,50.172641,114.874275,,19750522091500,20230627105500,1744,33666,Elk Valley Environmental Labs,Elk Valley Environmental Labs
0200203,,Teck,MICHEL CREEK ABOVE ERICKSON CREEK,Elkview Operations - Receiving environment - Michel Creek u/s of Erickson Creek,425,CONTROL,1,21,49.677442,114.784333,,19840109143000,20230628123000,1455,36112,Elkview Coal Corp. Central Lab,ALS Global
0200209,,Teck,CORBIN CR U/S MICHEL CR,Coal Mountain Operations - Receiving environment - Corbin Creek d/s of CMO,4750,DOWNCURRENT/DOWNWIND,2,21,49.5136,114.6739,,19820104,20230626150500,1860,34475,"Kootenay, Cranbrook",Bureau Veritas Laboratories (Maxxam)
0200218,,Teck,ELK RIVER ABOVE OLD ELKFORD STP,Elkview Operations - SAMPLED IMMEDIATELY UPSTREAM FROM ELKFORD AERATION PONDS (PE 454).,454,CONTROL,2,21,50.0189,114.9119,,19751201103000,19891018104000,135,1074,"Kootenay, Nelson",Environmental Laboratory
0200250,,Teck,ELKVIEW COAL; BODIE CR AT MOUTH,Elkview Operations - Effluent compliance -SAMPLED IMMEDIATELY UPSTREAM FROM THE CONFLUENCE WITH MICHEL CREEK.,,,5,21,49.7169,114.8406,,19820210113000,20060718162500,54,147,"Kootenay, Cranbrook",Bureau Veritas Laboratories (Maxxam)
0200251,,Teck,FORDING RIVER D/S OF HENRETTA CREEK (FR_FR1),"Fording River Operations - Receiving environment - SAMPLED APPROX. 1.6KM ABOVE THE CLODE HAUL ROAD BRIDGE, NEAR WATER WELLS.",424,CONTROL,1,21,50.221901,114.878775,,19770107112000,20230626132000,1443,15490,Elk Valley Environmental Labs,Elk Valley Environmental Labs
0200252,,Teck,ELK VALLEY COAL F/R (PE424) KILMARNOCK CR D/S DRAIN (FR_KC1),Fording River Operations - Downcurrent / Downwind - SAMPLED FROM CULVERTS ON THE FORDING COAL ROAD.,424,DOWNCURRENT/DOWNWIND,2,21,50.169143,114.862795,,19770412140500,20230627103000,1401,18888,Elk Valley Environmental Labs,Elk Valley Environmental Labs
0200272,,Teck,CORBIN CREEK ABOVE BYRON CREEK COLLIERIES OP.,Coal Mountain Operations - Effluent compliance - Corbin Creek above Byron Creek Collieries Op. - 65 METERS EAST OF THE OLD FLUME ON CORBIN CR ROAD 2 KM FROM JUNCT WITH BCCL LOOP ROAD,,,5,21,49.5033,114.6481,,19820104,19851218121500,145,365,Permittee,Equis Permittee
0200274,,City of Fernie,Elk River above first Fernie storm sewer,"ELK RIVER 160M. U/S OF HWY NO.3 BRIDGE W. OF FERNIE, ABOVE FIRST STORM SEWER OUTFALL.",,,5,21,49.505,115.0694,,19780509112200,19870325000200,25,38,"Kootenay, Nelson",Environmental Laboratory
0200275,,City of Fernie,ELK RIVER BELOW FIRST FERNIE STORM SEWER,"ELK RIVER 137M U/S OF HWY NO.3 BRIDGE W.OF FERNIE, BELOW FIRSTSTORM SEWER",,,5,21,49.5044,115.0692,,19870325000100,19870325000200,2,4,"Kootenay, Nelson",Health Lab
0200277,,City of Fernie,ELK RIVER BELOW THIRD STORM SEWER,"ELK RIVER 82M D/S HWY. NO.3 BRIDGE W. OF FERNIE, BELOW THIRD STORM SEWER",,,5,21,49.5028,115.0675,,19870325000100,19870325000200,2,4,"Kootenay, Nelson",Health Lab
0200278,,City of Fernie,ELK RIVER BELOW FOURTH STORM SEWER,"ELK RIVER 206M.D/S HWY NO.3 BRIDGE W. OF FERNIE, BELOW FOURTH STORM SEWER",,,5,21,49.5022,115.0667,,19870325000100,19870325000200,2,4,"Kootenay, Nelson",Health Lab
0200279,,City of Fernie,ELK RIVER 366M D/S FERNIE HWY. 3 BRIDGE,ELK RIVER 366M. D/S OF HWY NO.3 BRIDGE W.OF FERNIE. STATION LOCATED 160M D/S OF LAST CULVERT OUTFALL FROM BRIDGE,,,5,21,49.5019,115.0664,,19870325000100,19870325000200,2,4,"Kootenay, Nelson",Health Lab
0200300,,City of Fernie,Elk River above Fernie STP outfall,Elk River LOCATED APPROXIMATELY 100 METERS U/S FERNIE STP OUTFALL.,,,5,21,49.4867,115.0731,,19790313130000,20000222143000,46,105,Environment Canada (PESC),Environment Canada (PESC)
0200301,,Unknown,ELK RIVER ABOVE MORRISSEY PARK BRIDGE,LOCATED 50 METERS U/S OF MORRISSEY PROVINCIAL PARK BRIDGE ON THE ELK RIVER,,,5,21,49.3922,115.0167,,19790313135500,20140226153000,79,1964,"Kootenay, Cranbrook",Bureau Veritas Laboratories (Maxxam)
0200311,,Teck,"FORDING RIVER D/S OF SWIFT CREEK, U/S OF CATARACT CR (FR_FR4)",Greenhills Operations - Receiving environment - U/S - Cataract creek - 700M D/S OF OLD BRIDGE SAMPLE POINT IS 300M D/S OF SWIFT CREEK,6248,CONTROL,1,21,50.154121,114.865541,,19790809012000,20211109103200,1859,12127,ALS Global,Permittee
0200323,,Teck,ELK R. ABOVE ELKVIEW COARSE REFUSE AREA C,Elkview Operations - Receiving environment - D/S - SAMPLE AT POINT ON RIVER WHERE LOWER ELK VALLEY RD APPROACHESCLOSEST TO ELK R. APPROX 4.6 KM NORTH OF STATION 0200111.,425,CONTROL,1,21,49.7881,114.8822,,19820303120500,20140226122000,547,4104,"Kootenay, Nelson",Bureau Veritas Laboratories (Maxxam)
0200335,,Teck,LINE CR (PE5353) LINE CR U/S MINE SERVICES (LC_LC2),Line Creek Operations - Receiving environment - U/S of rock drain,5353,CONTROL,1,21,49.958763,114.747084,,19800425093000,20230627120000,1402,17836,Elkview Coal Corp. Central Lab,ALS Global
0200337,,Teck,LINE CR (PE5353) LINE CR ABOVE SOUTH LINE CR (LC_LC3),Line Creek Operations - Receiving environment - Downcurrent / Downwind - SAMPLE IN LINE CREEK JUST UPSTREAM OF CONFLUENCE WITH SOUTH LINE CREEK. Elk Valley 2020 CABIN sampling program site ELK10,5353,DOWNCURRENT/DOWNWIND,2,21,49.919164,114.76968,,19800425094000,20230627130000,2152,49423,Elkview Coal Corp. Central Lab,ALS Global
0200338,,Teck,FORDING RIVER ABOVE LINE CREEK,Line Creek Operations - Receiving environment - Downcurrent / Downwind - SAMPLE IN FORDING RIVER JUST UPSTREAM OF CONFLUENCE WITH LINE CREEK.,5353,DOWNCURRENT/DOWNWIND,2,21,49.8981,114.855,,19800425102000,20140910132700,803,5070,Elkview Coal Corp. Central Lab,ALS Global
0200339,,Unknown,ELK RIVER ABOVE FORDING RIVER,SAMPLE IN THE ELK RIVER JUST UPSTREAM OF THE CONFLUENCE WITH THE FORDING RIVER.,,,5,21,49.8831,114.8761,,19800425160000,19840821143200,85,335,Permittee,Equis Permittee
0200378,,Teck,FORDING RIVER 200 METRES BELOW GREENHILLS CR. (GH_FR1),Greenhills Operations - Receiving environment - D/S - FORDING R. BELOW GREENHILLS DEVELOPMENT 200 M. D/S OF CONFLUENCE WITH GREENHILLS CR. WS-1,107517,DOWNCURRENT/DOWNWIND,2,21,50.042263,114.861469,,19810410142000,20230626111500,1444,35793,"Kootenay, Cranbrook",ALS Global
0200387,,Teck,ELK VALLEY COAL G/H (PE6248) WOLFRAM CR U/S ELK RIVER,Greenhills Operations - Effluent Compliance - Downwind / Downstream - Prep Plant - AT RD. CROSSING OF SECOND CREEK (WOLFRAM C.) NR. ROUND PRAIRIE DRAINING WEST SLOPE OF GREENHILLS RANGE WS-10.,6248,DOWNCURRENT/DOWNWIND,2,21,50.1036,114.9247,,19810427125500,20050301,570,2421,Independent Agent or Other,Elk Valley Environmental Labs
0200388,,Teck,ELK VALLEY COAL G/H (PE6248) MICKELSON CR U/S ELK R. (GH_MC1),Greenhills Operations - Authorized Discharge - AT ROAD CROSSING OF FOURTH CREEK (MICKELSON C.) NORTH OF ROUND PRAIRIE DRAINING WEST SLOPE OF GREENHILLS RANGE.,6248,DOWNCURRENT/DOWNWIND,2,21,50.11852,114.926651,,19810427132000,20230627085000,1151,19392,ALS Global,Permittee
0200389,,Teck,ELK RIVER ABOVE GREENHILLS MINING OPERATION (GH_ER2),Greenhills Operations - Receiving environment - U/S - ELK RIVER UPSTREAM OF GREENHILLS MINING DEVELOPMENT 8 KM NORTHOF THOMPSON CREEK Elk Valley 2020 CABIN sampling program site ELK14,6248,CONTROL,1,21,50.152569,114.945756,,19810427141500,20230626103000,1418,31141,ALS Global,Permittee
0200390,,Teck,ELK VALLEY COAL G/H (PE6248) LEASK CR U/S ELK RIVER,Greenhills Operations - D/S - Effluent compliance - AT ROAD CROSSING OF THIRD CREEK (LEASK C.) NORTH OF ROUND PRAIRIE DRAINING WEST SLOPE OF GREENHILLS RANGE.,6248,DOWNCURRENT/DOWNWIND,2,21,50.1106,114.9256,,19810427132000,20050301,539,1990,Independent Agent or Other,Elk Valley Environmental Labs
0200393,,Teck,ELK R. BELOW MICHEL C. AT C.P.R. ROADHOUSE (EV_ER1),Elkview Operations - Receiving environment - D/S - Order station - monitor success of EVWQP - ON EAST BANK OF ELK R.APPROX 1 KM DOWNSTREAM OF MICHEL CR.LOCATED DUE WEST OF CPR ROAD HOUSE IN SPARWOOD.,425,DOWNCURRENT/DOWNWIND,2,21,49.733202,114.899459,,19840109152500,20230626073000,1709,49418,"Kootenay, Cranbrook",ALS Global
0200395,,District of Elkford,ELK R. BELOW NEW ELKFORD STP,SAMPLED ON COLUMBIA NATURAL GAS R/W. 1.3 KM SOUTH OF NEW ELKFORD STP.,6077,DOWNCURRENT/DOWNWIND,2,21,49.9497,114.9111,,19850424103000,19851105104000,7,63,"Kootenay, Nelson",Environmental Laboratory
0200396,,Unknown,FORDING RIVER AT MOUTH,"SAMPLED JUST U/S FROM SMALL SIDE CHANNEL, 25 M U/S FROM CONFLUENCE WITH ELK RIVER.",,,2,21,49.8858,114.8731,,19810519122500,19910822105000,96,802,"Kootenay, Cranbrook",Philip Analyt. Services (formerly Zenon)
0200397,,Unknown,ELK RIVER BELOW LIZARD CREEK,JUST SOUTH OF SNOW VALLEY SKI RESORT OFF HIGHWAY 3 WHERE PULL-OFF POINT JUTS INTO RIVER,,,2,21,49.4531,115.0669,,19810519154000,19980114140000,104,804,"Kootenay, Cranbrook",Environment Canada (PESC)
0200408,,Teck,LINE CR RES; NO NAME CR. BELOW GATE WEIR (OLD),Line Creek Operations - Prep Plant - Unnamed creek near Line Creek Resources Mine Service Complex.SAMPLED JUST U/S OF HAUL ROAD.,,,2,21,49.9456,114.7567,,19820305132000,19900322,131,446,Permittee,ALS Global
0200425,,Teck ,MICHEL CREEK AT SPARWOOD (1983) BRIDGE,Elkview Operations - Receiving environment - D/S - Effluent compliance - MICHEL CREEK UNDER HWY 43 BRIDGE (1983) ON RIGHTBANK LOOKING UPSTREAM.,425,DOWNCURRENT/DOWNWIND,2,21,49.7378,114.8831,,19840109151500,20140902113500,730,4054,Elkview Coal Corp. Central Lab,ALS Global
0200429,,Teck ,MICHEL CREEK ABOVE ALEXANDER CREEK,Elkview Operations - JUST U/S OF ALEXANDER CREEK CONFLUENCE,,,2,21,49.6742,114.78,,19840320131000,20070928160000,81,661,"Kootenay, Cranbrook",Philip Analyt. Services (formerly Zenon)
0225059,,Teck,MANALTA COAL (PE-3986) SETTLING POND INFLUENT,Coal Mountain Operations - Influent to Settling Pond - TENT MTN. CREEK SAMPLED IMMEDIATELY PRIOR TO SETTLING POND,3986,INFLUENT,5,21,49.533733,114.710642,,19860414151500,19860506132000,2,4,"Kootenay, Nelson",Env Lab - Modified by Field
E102714,,Teck,ELK VALLEY COAL G/H (PE6248) THOMPSON CR POND BYPASS (GH_TC1),Greenhills Operations - Receiving environment - AT BRIDGE ON LOWER ACESS ROAD - FIRST CREEK NORTH OF ROUND PRAIRIE,6248,DOWNCURRENT/DOWNWIND,2,21,50.08568,114.923296,,19820707142000,20230628092000,703,19194,ALS Global,Permittee
E206143,,Unknown,LEACH CR. NEAR MOUTH,"AT CAMPSITE JUST OFF LOGGING ROAD, APPROX. 1 KM. FROM MICHEL RD.",,,2,21,49.5753,114.7917,,19850528114000,19850528114000,1,5,"Kootenay, Nelson",Environmental Laboratory
E206178,,Unknown,MICHEL CREEK BELOW LEACH CREEK AND ABOVE WHEELER CREEK,Not sure if this is the same site as E207789,,,2,21,49.6011,114.7928,,19850528120000,19850528120000,1,5,"Kootenay, Nelson",Environmental Laboratory
