,MONITORING_LOCATION,STREAM_NAME
1,ELK RIVER ABOVE HIGHWAY 93,Elk River
2,ELK RIVER ABOVE GRAVE CREEK AT ABANDONED SUSPENSION BRIDGE,Elk River
3,FORDING RIVER BELOW LINE CREEK,Fording River
4,LINE CR (PE5353) LINE CR AT CANYON MOUTH,Line Creek
5,EVCC -ELKVIEW  (PE425) ERICKSON CREEK AT MOUTH,Erickson Creek
6,ELK RIVER BELOW SPARWOOD,Elk River
7,ELK RIVER ABOVE MICHEL CREEK,Elk River
8,FORDING RIVER U/S OF KILMARNOCK CR (FR_FR2),Fording River
9,MICHEL CREEK ABOVE ERICKSON CREEK,Michel Creek
10,CORBIN CR U/S MICHEL CR,Corbin Creek
11,FORDING RIVER D/S OF HENRETTA CREEK,Fording River
12,ELK VALLEY COAL F/R   (PE424) KILMARNOCK CR D/S DRAIN,Kilmarnock Creek
13,LINE CR (PE5353) LINE CR U/S MINE SERVICES,Line Creek
14,LINE CR (PE5353) LINE CR ABOVE SOUTH LINE CR,Line Creek
15,FORDING RIVER 200 METRES BELOW GREENHILLS CR.,Fording River
16,ELK VALLEY COAL G/H (PE6248) MICKELSON CR U/S ELK R.,Mickelson Creek
17,ELK RIVER ABOVE GREENHILLS MINING OPERATION,Elk River
18,ELK R. BELOW MICHEL C. AT C.P.R. ROADHOUSE,Elk River
19,ELK VALLEY COAL G/H (PE6248) THOMPSON CR POND BYPASS,
20,ELK RIVER ABOVE BOIVIN CREEK,Elk River
21,LINE CREEK U/S MSA NORTH PITS,Line Creek
22,FORDING RIVER ABOVE HENRETTA CREEK,Fording River
23,ELK VALLEY COAL; HENRETTA CR. ABOVE FORDING R.,Henretta Creek
24,LINE CR RES; NORTH HORSESHOE CREEK,Line Creek
25,FORDING RIVER ABOVE CHAUNCEY CREEK,Fording River
26,MICHEL CREEK U/S COAL MOUNTAIN OPERATIONS,Michel Creek
27,MICHEL CREEK D/S COAL MTN OPERATIONS U/S OF ANDY GOOD CR.,Michel Creek
28,WEST LINE CREEK,West Line Creek
29,ELK05 ELK RIVER,Elk River
30,SOUTH LINE CREEK,South Line Creek
31,COUGAR CREEK @ LRP ROAD,Cougar Creek
32,WADE CREEK @ LRP ROAD,Wade Creek
33,BRANCH F @ LRP ROAD,
34,DRY CR. U/S OF FORDING MINE ROAD (LC_DC1),Dry Creek
35,LINE CREEK OPERATIONS - FORDING RIVER DOWNSTREAM OF DRY CREEK,Fording River
36,DRY CR. U/S HEADPOND  (LC_DC3),Dry Creek
37,LINE CREEK OPERATIONS - EAST TRIBUTARY CREEK (LC_DCEF),East Tributary Creek
38,GRACE CR. U/S CP RAIL TRACKS  (LC_GRCK),Grace Creek
39,LINE CREEK U/S OF WEST LINE CREEK,Line Creek
40,ELK RIVER AT ELKO RESEVOIR,Elk River
41,DRY CR. D/S SEDIMENT PONDS OUTLET  (LC_DCDS),Dry Creek
42,LINE CREEK OPERATIONS- UNNAMED CREEK,Unnamed Creek
43,LINE CREEK OPERATION- CHAUNCEY CREEK,Chauncey Creek
44,FORDING R. D/S OF DRY CR.  (LC_FRUS),Fording River
45,PE-5353 LINE CREEK D/S OF SOUTH LINE CREEK CONFLUENCE,Line Creek
